ID,Name,Address,City,Prov,PostCode,Amount,Phone,Email
201,Mr. Jacques Plante,14 Denis Road,Cantley,QC,J8V 3J5,50,(819)-555-2334,
202,CGI,140 Rue Grand-Allee Est Unit 200,Quebec,QC,G1R 5P7,500,,
203,CGI Ltée,"140 Grand-Allee Est, Bureau 200",Ville de Québec,QC,G1R 5P7,400,info@cgi.ca,
204,Amar Singh,5264 Joel Avenue,"Burlington,ON",L7L3Y7,,300,,
205,Jack Plant,,,,,50,555-2334,JPlante@gmail.com
206,Mr. Arnold Toporowski,"38 Metropol, Unit 1605",Ottawa ON K1Z 1E9,,613 755-2313,90,,ArnoldT@sas.com
207,Ms MJ Belanger,4500 Sherbrooke St W,Montreal,QC,H3Z 1E6,950,514 799 9239,
208,CGI Canada Inc,200-140 Grand Allee,Quebec,Que,G1R 5P7,500,418.627.2227,
209,"Plant, Jack",201-14 Denis Rd,Gatineau,,J8V3J5,150,555-2334,
210,Mme Marie-Josée Bélanger,"4500, rue Sherbrook Ouest",Montréal,PQ,,900,,MJBelanger@bell.ca
211,Ms. M.-J. Bélanger,4500 Sherbrooke O,Mon.,QC,H3Z 1E6,100,799-9239,
212,Jacques Plante,"14, Chemin Denis, app 201",Cantley,Quebec,,40,,
213,Amar Singh,5264 Joel Av,Burlington,ON,,100,(905) 637 5119,amar.singh@lost.com
214,Arnie Toperowski,"38, privé Metropole, app 1605",Otawa  ,Ont,K1Z1E9,400,,
215,Jacques Plante,14 Denise Unit 201,"Cantley, QC, J8V 3J5",,,10,,
216,JF Tremblay,P.O. Box 123,St-Marc-du-Lac-Long,QC,,200,819-555-4545,
217,Jean-Francois Tremblay,CP 123,Saint Marc QC,G0L 1TO,,90,,JFTremblay@bell.ca
218,"Tremblay, JF",CP 123,St-Marc,Quebec,GOL 1T0,50,555-4545,
219,A. Toporowski,"38 Metropole Private, Unit 1605",Ottawa,Ontario,K1Z 1E9,100,7552313,ArnoldT@sas.com
220,C.G.I.,"140 Grand-Allee East, Unit 200",Quebec City,QC,G1R 5P7,600,627-2227,info@cgi.ca
